Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Value,Token
"0xbec454245a75b1346fef2218613087e9d16224234661ab7290f334d64fe3cf8b","Success","Transfer","19846739","2024-05-11 12:18:35","0x843535fd571f32ac8cae13682aeb04cfec7d51ca","slamgoal.eth","0x893ccde48963bbd86a5b7764f058d5ce82413050","","28,157","Lanify(LAN)"
"0x8a35177dbeacb084594b62ad363bb0409a43859b18d7193caa51f47ad34c0c6a","Success","Claim","19846739","2024-05-11 12:18:35","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","EigenLayer: Airdrop Distributor","0x045d9dbbc63b637f6717d92bed155222e3f18651","","167.912333991","Eigen(EIGEN)"
"0x77636a9a84a9afda29ccbc0b3e504e4134aa73bec2ebe10195e5dbab6dbce6da","Success","Deposit Into Strategy","19846739","2024-05-11 12:18:35","0xacb55c530acdb2849e6d4f36992cd8c9d50ed8f7","","0xec53bf9167f50cdeb3ae105f56099aaab9061f83","EigenLayer: EIGEN Token","50","Eigen(EIGEN)"
"0x77636a9a84a9afda29ccbc0b3e504e4134aa73bec2ebe10195e5dbab6dbce6da","Success","Deposit Into Strategy","19846739","2024-05-11 12:18:35","0xa2b13122b479ae3d12dc7a043f37c4984414100f","","0xacb55c530acdb2849e6d4f36992cd8c9d50ed8f7","","50","Eigen(EIGEN)"
"0x77636a9a84a9afda29ccbc0b3e504e4134aa73bec2ebe10195e5dbab6dbce6da","Success","Deposit Into Strategy","19846739","2024-05-11 12:18:35","0xec53bf9167f50cdeb3ae105f56099aaab9061f83","EigenLayer: EIGEN Token","0xacb55c530acdb2849e6d4f36992cd8c9d50ed8f7","","50","Backing Eigen(bEIGEN)"
"0xf2fce9ba73ff8730dce6edcbb3c8dad924876d8fd311041c61b1dbffd0c04270","Success","Deposit Into Strategy","19846739","2024-05-11 12:18:35","0xacb55c530acdb2849e6d4f36992cd8c9d50ed8f7","","0xec53bf9167f50cdeb3ae105f56099aaab9061f83","EigenLayer: EIGEN Token","110","Eigen(EIGEN)"
"0xf2fce9ba73ff8730dce6edcbb3c8dad924876d8fd311041c61b1dbffd0c04270","Success","Deposit Into Strategy","19846739","2024-05-11 12:18:35","0x5ad67cc6a5c9c189ce54fa7b77b62c8f2dd351f2","penniestocks.eth","0xacb55c530acdb2849e6d4f36992cd8c9d50ed8f7","","110","Eigen(EIGEN)"
"0xf2fce9ba73ff8730dce6edcbb3c8dad924876d8fd311041c61b1dbffd0c04270","Success","Deposit Into Strategy","19846739","2024-05-11 12:18:35","0xec53bf9167f50cdeb3ae105f56099aaab9061f83","EigenLayer: EIGEN Token","0xacb55c530acdb2849e6d4f36992cd8c9d50ed8f7","","110","Backing Eigen(bEIGEN)"
"0x49b5fb155317d3b5551b02d3f90df319665197904ca2fc9202110d36e86c8e9a","Success","Unwrap","19846739","2024-05-11 12:18:35","0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee","ether.fi: weETH Token","0xe33a480412c86500939014c00f7add7522675dec","","1.038127008","ether.fi ETH(eETH)"
"0x49b5fb155317d3b5551b02d3f90df319665197904ca2fc9202110d36e86c8e9a","Success","Unwrap","19846739","2024-05-11 12:18:35","0xe33a480412c86500939014c00f7add7522675dec","","0x0000000000000000000000000000000000000000","Null: 0x000...000","1","Wrapped eETH(weETH)"
"0x3a101e2c98fd9ac3bc864ab80f911cd3b51032528ba6909aa7bd4f8a2bf76509","Success","Deposit Into Strategy","19846739","2024-05-11 12:18:35","0x5dee0c7c36f0ef68da9c215b7b20701d84e4f8a4","piowlo.eth","0xacb55c530acdb2849e6d4f36992cd8c9d50ed8f7","","110","Eigen(EIGEN)"
"0x3a101e2c98fd9ac3bc864ab80f911cd3b51032528ba6909aa7bd4f8a2bf76509","Success","Deposit Into Strategy","19846739","2024-05-11 12:18:35","0xec53bf9167f50cdeb3ae105f56099aaab9061f83","EigenLayer: EIGEN Token","0xacb55c530acdb2849e6d4f36992cd8c9d50ed8f7","","110","Backing Eigen(bEIGEN)"
"0x3a101e2c98fd9ac3bc864ab80f911cd3b51032528ba6909aa7bd4f8a2bf76509","Success","Deposit Into Strategy","19846739","2024-05-11 12:18:35","0xacb55c530acdb2849e6d4f36992cd8c9d50ed8f7","","0xec53bf9167f50cdeb3ae105f56099aaab9061f83","EigenLayer: EIGEN Token","110","Eigen(EIGEN)"
"0x10f7384da3ce3edc0f332e81d2464a5acbe4a0c773eff7938f9f738c0817c32b","Success","Claim","19846739","2024-05-11 12:18:35","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","EigenLayer: Airdrop Distributor","0x362bc5e51dcacf20274ff5cbcf4b6848d6f7d0c1","","110","Eigen(EIGEN)"
"0xe8c20eba6f4d36c0067f752ef3ee1f8de87392b0097ea0cd05ce67bcf7c62a62","Success","0x54659419","19846739","2024-05-11 12:18:35","0xbeb5fd030ffb0fbc95d68113c1c796eff65526d7","MEV Bot: 0xbeb...6d7","0x000000fee13a103a10d593b9ae06b3e05f2e7e1c","","9.028306328","Matic Token(MATIC)"
"0xe8c20eba6f4d36c0067f752ef3ee1f8de87392b0097ea0cd05ce67bcf7c62a62","Success","0x54659419","19846739","2024-05-11 12:18:35","0xbeb5fd030ffb0fbc95d68113c1c796eff65526d7","MEV Bot: 0xbeb...6d7","0x6eed14282dcd67d562e37a85611711dc01c9a9bc","","3,602.294224978","Matic Token(MATIC)"
"0xe8c20eba6f4d36c0067f752ef3ee1f8de87392b0097ea0cd05ce67bcf7c62a62","Success","0x54659419","19846739","2024-05-11 12:18:35","0x6eed14282dcd67d562e37a85611711dc01c9a9bc","","0xbeb5fd030ffb0fbc95d68113c1c796eff65526d7","MEV Bot: 0xbeb...6d7","0.85","Wrapped Ether(WETH)"
"0x44daa78cea50cbe5efa3b30b74653d146abf019614713fe43da2246cb7bb283b","Success","Transfer","19846739","2024-05-11 12:18:35","0x79ad3cbed8c36f260f4e34582a8208b7c089d5fb","","0xda0f967353ffc28ee0299bd436d5d40faba8c8d9","","15,000","Tether USD(USDT)"
"0x68725300758360f6120fc08e162bd3f5c9f5a7d1b706ebc156bcdebe756b1a9b","Success","Deposit Into Strategy","19846739","2024-05-11 12:18:35","0xacb55c530acdb2849e6d4f36992cd8c9d50ed8f7","","0xec53bf9167f50cdeb3ae105f56099aaab9061f83","EigenLayer: EIGEN Token","8,035.65909327","Eigen(EIGEN)"
"0x68725300758360f6120fc08e162bd3f5c9f5a7d1b706ebc156bcdebe756b1a9b","Success","Deposit Into Strategy","19846739","2024-05-11 12:18:35","0x2214918ad85eae66401ed85b184b1de45fd7eb69","","0xacb55c530acdb2849e6d4f36992cd8c9d50ed8f7","","8,035.65909327","Eigen(EIGEN)"
"0x68725300758360f6120fc08e162bd3f5c9f5a7d1b706ebc156bcdebe756b1a9b","Success","Deposit Into Strategy","19846739","2024-05-11 12:18:35","0xec53bf9167f50cdeb3ae105f56099aaab9061f83","EigenLayer: EIGEN Token","0xacb55c530acdb2849e6d4f36992cd8c9d50ed8f7","","8,035.65909327","Backing Eigen(bEIGEN)"
"0x13a214d983e960c072ed84b371c11069eb3719a2c662ebe3a8f65c58d65fab86","Success","Execute","19846739","2024-05-11 12:18:35","0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad","Uniswap: Universal Router","0x000000fee13a103a10d593b9ae06b3e05f2e7e1c","","0.000483115","Wrapped Ether(WETH)"
"0x13a214d983e960c072ed84b371c11069eb3719a2c662ebe3a8f65c58d65fab86","Success","Execute","19846739","2024-05-11 12:18:35","0x7d1f8a830ddd14fcbb3e5d72dc795600e2a48be7","Uniswap V2: SLERF 16","0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad","Uniswap: Universal Router","0.193246094","Wrapped Ether(WETH)"
"0x13a214d983e960c072ed84b371c11069eb3719a2c662ebe3a8f65c58d65fab86","Success","Execute","19846739","2024-05-11 12:18:35","0x5aea784b40e2c88c5a8b85d2a999ea3add385b83","","0x7d1f8a830ddd14fcbb3e5d72dc795600e2a48be7","Uniswap V2: SLERF 16","104,803,801.891925142","Slerf On ETH(SLERF)"
"0x46b4c49033dd0de7deee654f1c0dad986fb71071d9529b9c6c33936647878d30","Success","Transfer","19846739","2024-05-11 12:18:35","0x4f78c6f32bd76124643ef32a2ab285be89ce1fcd","","0x6237852e60b31a4a821a5988e4984ab0f8fce00a","","27","Pluton(PLU)"
"0xef91b6d6b02575d9f2305582b3d5471f95703e7dfa51f1178758fa0dd26d00b6","Success","Transfer","19846739","2024-05-11 12:18:35","0xd989d20f0a1d3a5729da4466e9d18b32d7000240","","0x98f7905a846761a220a42c0c9587be32e7ebd7fb","","900","AIOZ Network(AIOZ)"
